ingredient
rice
onion
tomato
garlic
oil
salt
green chili
potato
turmeric
bread
cheese
butter
milk
egg
capsicum
flattened rice
semolina
mustard seeds
lemon
curd
curry leaves
maggi noodles
masala
besan
moong dal
tamarind paste
paneer
mayonnaise
ghee
sugar
cardamom
peas
carrot
cumin seeds
garam masala
chat masala
papad
soy sauce
water
spices
roti
chili flakes

